Order_Number,Order_Date,Line_Item_Number,Quantity_Ordered,Price_Each,Sales,Status,Product_Category,Has_MSRP,Product_Code,Deal_Size,Customer_Name,Customer_ID,Customer_Status
10248,2019-05-07,12,153.0,307.56,28637.49,Shipped,Fresh Produce Fruits,1,S18_3140,Medium,COSTCO,81313,Active
10292,2019-09-08,12,120.0,326.89,24291.33,Shipped,Fresh Produce Vegetables,1,S18_3232,Small,COSTCO,81313,Active
10248,2019-05-07,14,145.0,280.04,24801.88,Shipped,Bread,1,S18_3259,Medium,COSTCO,81313,Active
10329,2019-11-15,10,124.0,262.07,20508.33,Shipped,Fresh Produce Vegetables,1,S18_3278,Small,COSTCO,81313,Active
10292,2019-09-08,2,143.0,266.33,25150.57,Shipped,Fresh Produce Vegetables,1,S18_4027,Large,COSTCO,81313,Active
10248,2019-05-07,11,151.0,258.06,26518.2,Shipped,Fresh Produce Fruits,1,S18_4522,Medium,COSTCO,81313,Active
10292,2019-09-08,5,122.0,256.3,16975.15,Shipped,Fresh Produce Vegetables,1,S24_1444,Small,COSTCO,81313,Active
10107,2018-02-24,3,138.0,332.68,30604.46,Shipped,Poultry,1,S24_1578,Small,COSTCO,81313,Active
10329,2019-11-15,7,126.0,332.68,27976.97,Shipped,Poultry,1,S24_1578,Small,COSTCO,81313,Active
10107,2018-02-24,7,155.0,318.9,31103.7,Shipped,Poultry,1,S24_2000,Medium,COSTCO,81313,Active
10329,2019-11-15,4,132.0,318.9,26395.49,Shipped,Poultry,1,S24_2000,Medium,COSTCO,81313,Active
10248,2019-05-07,10,144.0,339.28,31761.78,Shipped,Dairy,1,S24_2011,Medium,COSTCO,81313,Active
10292,2019-09-08,9,160.0,230.74,23215.04,Shipped,Fresh Produce Vegetables,1,S24_2840,Small,COSTCO,81313,Active
10248,2019-05-07,5,106.0,299.08,21337.93,Shipped,Fresh Produce Fruits,1,S24_3151,Medium,COSTCO,81313,Active
10248,2019-05-07,2,144.0,318.65,28660.74,Shipped,Fresh Produce Fruits,1,S24_3816,Small,COSTCO,81313,Active
10292,2019-09-08,4,129.0,324.29,27410.07,Shipped,Fresh Produce Vegetables,1,S24_4048,Medium,COSTCO,81313,Active
10107,2018-02-24,8,99.0,267.17,18066.83,Shipped,Poultry,1,S32_1374,Small,COSTCO,81313,Active
10329,2019-11-15,11,128.0,267.17,23268.04,Shipped,Poultry,1,S32_1374,Small,COSTCO,81313,Active
10292,2019-09-08,10,172.0,246.02,29147.9,Shipped,Pork,1,S32_2509,Small,COSTCO,81313,Active
10292,2019-09-08,3,140.0,272.35,24835.41,Shipped,Bread,1,S32_3207,Small,COSTCO,81313,Active
10292,2019-09-08,6,157.0,339.7,34058.37,Shipped,Pork,1,S50_1392,Medium,COSTCO,81313,Active
10292,2019-09-08,1,144.0,270.34,21388.58,Shipped,Bread,1,S50_1514,Small,COSTCO,81313,Active
10248,2019-05-07,6,144.0,247.13,21193.96,Shipped,Dairy,1,S700_1138,Small,COSTCO,81313,Active
10248,2019-05-07,13,162.0,272.84,31885.21,Shipped,Dairy,1,S700_1938,Medium,COSTCO,81313,Active
10248,2019-05-07,4,124.0,251.11,20594.93,Shipped,Dairy,1,S700_2610,Small,COSTCO,81313,Active
10248,2019-05-07,7,137.0,262.69,24578.09,Shipped,Dairy,1,S700_3505,Medium,COSTCO,81313,Active
10248,2019-05-07,8,159.0,292.05,33216.82,Shipped,Dairy,1,S700_3962,Medium,COSTCO,81313,Active
10329,2019-11-15,8,132.0,278.68,21518.22,Shipped,Beef,1,S72_1253,Medium,COSTCO,81313,Active
10248,2019-05-07,9,136.0,240.65,19206.97,Shipped,Dairy,1,S72_3212,Small,COSTCO,81313,Active
10121,2018-05-07,5,135.0,300.24,28667.08,Shipped,Poultry,1,S10_1678,Small,COSTCO,36763,Active
10359,2019-12-15,6,158.0,310.79,33633.43,Shipped,Fresh Produce Vegetables,1,S10_4757,Small,COSTCO,36763,Active
10359,2019-12-15,8,137.0,305.44,25489.42,Shipped,Fresh Produce Vegetables,1,S12_1108,Medium,COSTCO,36763,Active
10121,2018-05-07,4,159.0,319.49,34880.96,Shipped,Poultry,1,S12_2823,Large,COSTCO,36763,Active
10359,2019-12-15,5,159.0,314.47,33656.29,Shipped,Fresh Produce Vegetables,1,S12_3891,Medium,COSTCO,36763,Active
10137,2018-07-10,2,135.0,287.14,23218.07,Shipped,Fresh Produce Vegetables,1,S18_1589,Medium,COSTCO,36763,Active
10343,2019-11-24,4,141.0,287.14,24224.45,Shipped,Fresh Produce Vegetables,1,S18_1589,Medium,COSTCO,36763,Active
10398,2020-03-30,11,154.0,315.59,29274.46,Shipped,Beef,1,S18_1662,Medium,COSTCO,36763,Active
10398,2020-03-30,15,114.0,289.57,19993.99,Shipped,Beef,1,S18_2581,Small,COSTCO,36763,Active
10137,2018-07-10,3,162.0,306.84,29759.22,Shipped,Fresh Produce Vegetables,1,S18_2870,Medium,COSTCO,36763,Active
10343,2019-11-24,3,105.0,306.84,19394.02,Shipped,Fresh Produce Vegetables,1,S18_2870,Small,COSTCO,36763,Active
10398,2020-03-30,18,106.0,253.18,18138.67,Shipped,Dairy,1,S18_3029,Small,COSTCO,36763,Active
10137,2018-07-10,4,109.0,272.35,19515.1,Shipped,Fresh Produce Vegetables,1,S18_3685,Medium,COSTCO,36763,Active
10343,2019-11-24,2,135.0,272.35,24285.67,Shipped,Fresh Produce Vegetables,1,S18_3685,Medium,COSTCO,36763,Active
10398,2020-03-30,17,160.0,301.53,30812.9,Shipped,Fresh Produce Fruits,1,S18_3856,Medium,COSTCO,36763,Active
10137,2018-07-10,1,109.0,248.24,14024.12,Shipped,Fresh Produce Vegetables,1,S24_1628,Small,COSTCO,36763,Active
10343,2019-11-24,6,113.0,248.24,14575.44,Shipped,Fresh Produce Vegetables,1,S24_1628,Small,COSTCO,36763,Active
10398,2020-03-30,16,165.0,254.16,27271.0,Shipped,Beef,1,S24_1785,Medium,COSTCO,36763,Active
10121,2018-05-07,2,126.0,290.61,22904.07,Shipped,Poultry,1,S24_2360,Small,COSTCO,36763,Active
10398,2020-03-30,3,103.0,243.64,16824.72,Shipped,Beef,1,S24_2841,Small,COSTCO,36763,Active
10398,2020-03-30,13,146.0,261.2,24646.52,Shipped,Fresh Produce Fruits,1,S24_3420,Small,COSTCO,36763,Active
10398,2020-03-30,2,142.0,247.51,20812.04,Shipped,Beef,1,S24_3949,Small,COSTCO,36763,Active
10359,2019-12-15,7,103.0,324.29,21915.32,Shipped,Fresh Produce Vegetables,1,S24_4048,Small,COSTCO,36763,Active
10398,2020-03-30,14,137.0,267.62,25237.3,Shipped,Beef,1,S24_4278,Medium,COSTCO,36763,Active
10343,2019-11-24,1,126.0,287.79,26064.44,Shipped,Fresh Produce Vegetables,1,S24_4620,Medium,COSTCO,36763,Active
10343,2019-11-24,5,152.0,221.58,21123.2,Shipped,Poultry,1,S32_2206,Medium,COSTCO,36763,Active
10359,2019-12-15,3,136.0,246.02,23109.1,Shipped,Pork,1,S32_2509,Medium,COSTCO,36763,Active
10359,2019-12-15,1,132.0,272.35,23449.14,Shipped,Bread,1,S32_3207,Medium,COSTCO,36763,Active
10398,2020-03-30,4,126.0,287.44,23991.85,Shipped,Fresh Produce Fruits,1,S32_4289,Small,COSTCO,36763,Active
10121,2018-05-07,3,125.0,312.01,24454.08,Shipped,Poultry,1,S32_4485,Small,COSTCO,36763,Active
10398,2020-03-30,5,164.0,264.34,25992.85,Shipped,Fresh Produce Fruits,1,S50_1341,Small,COSTCO,36763,Active
10359,2019-12-15,2,164.0,339.7,35524.02,Shipped,Pork,1,S50_1392,Medium,COSTCO,36763,Active
10359,2019-12-15,4,121.0,270.34,17955.74,Shipped,Bread,1,S50_1514,Small,COSTCO,36763,Active
10121,2018-05-07,1,131.0,274.14,23019.38,Shipped,Poultry,1,S50_4713,Medium,COSTCO,36763,Active
10398,2020-03-30,6,142.0,332.89,30123.28,Shipped,Beef,1,S700_1691,Medium,COSTCO,36763,Active
10398,2020-03-30,7,131.0,261.46,22607.55,Shipped,Dairy,1,S700_2047,Medium,COSTCO,36763,Active
10398,2020-03-30,8,138.0,266.05,25847.57,Shipped,Beef,1,S700_2466,Small,COSTCO,36763,Active
10398,2020-03-30,9,121.0,302.14,23328.4,Shipped,Beef,1,S700_2834,Small,COSTCO,36763,Active
10398,2020-03-30,10,107.0,292.04,19573.32,Shipped,Beef,1,S700_3167,Small,COSTCO,36763,Active
10398,2020-03-30,12,119.0,272.64,21860.76,Shipped,Beef,1,S700_4002,Medium,COSTCO,36763,Active
10398,2020-03-30,1,135.0,278.68,22071.26,Shipped,Beef,1,S72_1253,Small,COSTCO,36763,Active
10134,2018-07-01,2,132.0,300.24,27951.34,Shipped,Poultry,1,S10_1678,Medium,WALMART,35419,Active
10180,2018-11-11,9,121.0,300.24,25760.28,Shipped,Poultry,1,S10_1678,Small,WALMART,35419,Active
10201,2018-12-01,2,140.0,300.24,29806.82,Shipped,Poultry,1,S10_1678,Small,WALMART,35419,Active
10251,2019-05-18,2,138.0,300.24,29243.47,Shipped,Poultry,1,S10_1678,Medium,WALMART,35419,Active
10183,2018-11-13,8,121.0,339.82,26412.77,Shipped,Fresh Produce Vegetables,1,S10_1949,Medium,WALMART,35419,Active
10333,2019-11-18,3,135.0,339.82,29351.5,Shipped,Fresh Produce Vegetables,1,S10_1949,Medium,WALMART,35419,Active
10134,2018-07-01,5,125.0,286.12,23066.83,Shipped,Poultry,1,S10_2016,Medium,WALMART,35419,Active
10180,2018-11-11,12,144.0,286.12,26468.72,Shipped,Poultry,1,S10_2016,Medium,WALMART,35419,Active
10201,2018-12-01,5,120.0,286.12,22095.33,Shipped,Poultry,1,S10_2016,Medium,WALMART,35419,Active
10251,2019-05-18,5,132.0,286.12,24371.79,Shipped,Poultry,1,S10_2016,Medium,WALMART,35419,Active
10134,2018-07-01,4,153.0,311.0,31193.31,Shipped,Poultry,1,S10_4698,Large,WALMART,35419,Active
10180,2018-11-11,11,139.0,311.0,28359.94,Shipped,Poultry,1,S10_4698,Large,WALMART,35419,Active
10201,2018-12-01,4,130.0,311.0,26492.02,Shipped,Poultry,1,S10_4698,Large,WALMART,35419,Active
10251,2019-05-18,4,130.0,311.0,26483.12,Shipped,Poultry,1,S10_4698,Large,WALMART,35419,Active
10307,2019-10-14,9,103.0,310.79,22065.16,Shipped,Fresh Produce Vegetables,1,S10_4757,Small,WALMART,35419,Active
10395,2020-03-17,2,120.0,310.79,25558.22,Shipped,Fresh Produce Vegetables,1,S10_4757,Medium,WALMART,35419,Active
10183,2018-11-13,1,145.0,325.02,30022.71,Shipped,Fresh Produce Vegetables,1,S10_4962,Medium,WALMART,35419,Active
10395,2020-03-17,1,149.0,305.44,27661.36,Shipped,Fresh Produce Vegetables,1,S12_1108,Small,WALMART,35419,Active
10183,2018-11-13,5,136.0,318.79,30144.32,Shipped,Pork,1,S12_1666,Medium,WALMART,35419,Active
10333,2019-11-18,6,154.0,318.79,34205.49,Shipped,Pork,1,S12_1666,Medium,WALMART,35419,Active
10134,2018-07-01,1,101.0,319.49,22087.73,Shipped,Poultry,1,S12_2823,Small,WALMART,35419,Active
10180,2018-11-11,8,147.0,319.49,32207.17,Shipped,Poultry,1,S12_2823,Medium,WALMART,35419,Active
10201,2018-12-01,1,136.0,319.49,29806.22,Shipped,Poultry,1,S12_2823,Medium,WALMART,35419,Active
10224,2019-02-21,6,122.0,319.49,26899.66,Shipped,Poultry,1,S12_2823,Medium,WALMART,35419,Active
10251,2019-05-18,1,144.0,319.49,31615.14,Shipped,Poultry,1,S12_2823,Large,WALMART,35419,Active
10183,2018-11-13,7,127.0,307.19,26557.99,Shipped,Pork,1,S18_1097,Small,WALMART,35419,Active
10333,2019-11-18,7,115.0,307.19,24059.77,Shipped,Pork,1,S18_1097,Small,WALMART,35419,Active
10356,2019-12-09,8,144.0,293.15,26073.05,Shipped,Fresh Produce Vegetables,1,S18_1129,Medium,WALMART,35419,Active
10356,2019-12-09,8,119.0,293.15,21533.1,Shipped,Fresh Produce Vegetables,1,S18_1129,Medium,WALMART,35419,Active
10111,2018-03-25,6,155.0,313.33,32837.7,Shipped,Fresh Produce Fruits,1,S18_1342,Medium,WALMART,35419,Active
10356,2019-12-09,9,161.0,313.33,34079.29,Shipped,Fresh Produce Fruits,1,S18_1342,Small,WALMART,35419,Active
10111,2018-03-25,5,166.0,260.11,30457.17,Shipped,Fresh Produce Fruits,1,S18_1367,Small,WALMART,35419,Active
10356,2019-12-09,6,126.0,260.11,23086.34,Shipped,Fresh Produce Fruits,1,S18_1367,Small,WALMART,35419,Active
10307,2019-10-14,1,137.0,315.59,26101.24,Shipped,Beef,1,S18_1662,Large,WALMART,35419,Active
10356,2019-12-09,2,115.0,322.51,24100.53,Shipped,Fresh Produce Vegetables,1,S18_1984,Small,WALMART,35419,Active
10356,2019-12-09,3,144.0,258.5,25653.74,Shipped,Fresh Produce Fruits,1,S18_2325,Medium,WALMART,35419,Active
10401,2020-04-03,3,165.0,289.57,28751.54,Shipped,Beef,1,S18_2581,Medium,WALMART,35419,Active
10134,2018-07-01,6,111.0,259.06,17381.47,Shipped,Poultry,1,S18_2625,Small,WALMART,35419,Active
10180,2018-11-11,13,143.0,259.06,22317.69,Shipped,Poultry,1,S18_2625,Small,WALMART,35419,Active
10180,2018-11-11,13,115.0,259.06,17878.81,Shipped,Poultry,1,S18_2625,Small,WALMART,35419,Active
10201,2018-12-01,6,154.0,259.06,24106.2,Shipped,Poultry,1,S18_2625,Small,WALMART,35419,Active
10251,2019-05-18,6,117.0,259.06,18316.02,Shipped,Poultry,1,S18_2625,Small,WALMART,35419,Active
10356,2019-12-09,1,121.0,337.6,26034.29,Shipped,Fresh Produce Fruits,1,S18_2795,Medium,WALMART,35419,Active
10183,2018-11-13,9,147.0,313.89,28482.84,Shipped,Fresh Produce Fruits,1,S18_2949,Medium,WALMART,35419,Active
10333,2019-11-18,5,121.0,313.89,23468.42,Shipped,Fresh Produce Fruits,1,S18_2949,Small,WALMART,35419,Active
10111,2018-03-25,2,147.0,239.96,23120.26,Shipped,Fresh Produce Fruits,1,S18_2957,Small,WALMART,35419,Active
10183,2018-11-13,11,132.0,239.96,20687.03,Shipped,Fresh Produce Fruits,1,S18_2957,Small,WALMART,35419,Active
10307,2019-10-14,7,109.0,253.18,18569.53,Shipped,Dairy,1,S18_3029,Small,WALMART,35419,Active
10111,2018-03-25,1,132.0,273.79,22328.72,Shipped,Fresh Produce Fruits,1,S18_3136,Medium,WALMART,35419,Active
10183,2018-11-13,10,114.0,273.79,19317.52,Shipped,Fresh Produce Fruits,1,S18_3136,Small,WALMART,35419,Active
10111,2018-03-25,4,158.0,294.48,32492.42,Shipped,Fresh Produce Fruits,1,S18_3320,Medium,WALMART,35419,Active
10333,2019-11-18,2,122.0,294.48,25036.35,Shipped,Fresh Produce Fruits,1,S18_3320,Large,WALMART,35419,Active
10180,2018-11-11,3,117.0,292.59,21840.82,Shipped,Poultry,1,S18_3782,Small,WALMART,35419,Active
10224,2019-02-21,1,154.0,292.59,28730.78,Shipped,Poultry,1,S18_3782,Small,WALMART,35419,Active
10307,2019-10-14,6,140.0,301.53,26910.74,Shipped,Fresh Produce Fruits,1,S18_3856,Medium,WALMART,35419,Active
10183,2018-11-13,2,122.0,344.53,27021.13,Shipped,Pork,1,S18_4600,Small,WALMART,35419,Active
10183,2018-11-13,6,117.0,230.13,16297.41,Shipped,Fresh Produce Fruits,1,S18_4668,Small,WALMART,35419,Active
10333,2019-11-18,8,112.0,230.13,15576.09,Shipped,Fresh Produce Fruits,1,S18_4668,Small,WALMART,35419,Active
10180,2018-11-11,2,122.0,311.11,23561.71,Shipped,Fresh Produce Vegetables,1,S18_4721,Medium,WALMART,35419,Active
10134,2018-07-01,3,129.0,332.68,28546.13,Shipped,Poultry,1,S24_1578,Medium,WALMART,35419,Active
10180,2018-11-11,10,156.0,332.68,34649.15,Shipped,Poultry,1,S24_1578,Medium,WALMART,35419,Active
10201,2018-12-01,3,154.0,332.68,34230.16,Shipped,Poultry,1,S24_1578,Medium,WALMART,35419,Active
10251,2019-05-18,3,129.0,332.68,28673.26,Shipped,Poultry,1,S24_1578,Small,WALMART,35419,Active
10401,2020-04-03,5,162.0,254.16,26710.27,Shipped,Beef,1,S24_1785,Medium,WALMART,35419,Active
10356,2019-12-09,5,161.0,215.72,22451.25,Shipped,Fresh Produce Fruits,1,S24_1937,Large,WALMART,35419,Active
10134,2018-07-01,7,162.0,318.9,32564.54,Shipped,Poultry,1,S24_2000,Medium,WALMART,35419,Active
10180,2018-11-11,14,118.0,318.9,23659.09,Shipped,Poultry,1,S24_2000,Small,WALMART,35419,Active
10201,2018-12-01,7,124.0,318.9,24798.72,Shipped,Poultry,1,S24_2000,Small,WALMART,35419,Active
10356,2019-12-09,7,106.0,239.33,14734.01,Shipped,Fresh Produce Fruits,1,S24_2022,Small,WALMART,35419,Active
10180,2018-11-11,6,132.0,290.61,23983.78,Shipped,Poultry,1,S24_2360,Small,WALMART,35419,Active
10224,2019-02-21,4,118.0,290.61,21323.92,Shipped,Poultry,1,S24_2360,Small,WALMART,35419,Active
10307,2019-10-14,2,127.0,243.64,20727.42,Shipped,Beef,1,S24_2841,Small,WALMART,35419,Active
10233,2019-03-29,2,149.0,299.08,30092.81,Shipped,Fresh Produce Fruits,1,S24_3151,Medium,WALMART,35419,Active
10307,2019-10-14,3,121.0,261.2,20417.04,Shipped,Fresh Produce Fruits,1,S24_3420,Small,WALMART,35419,Active
10307,2019-10-14,8,118.0,318.65,23598.06,Shipped,Fresh Produce Fruits,1,S24_3816,Small,WALMART,35419,Active
10401,2020-04-03,12,170.0,247.51,25027.1,Shipped,Beef,1,S24_3949,Medium,WALMART,35419,Active
10111,2018-03-25,3,117.0,306.58,22075.26,Shipped,Fresh Produce Fruits,1,S24_4258,Small,WALMART,35419,Active
10183,2018-11-13,12,136.0,306.58,25563.32,Shipped,Fresh Produce Fruits,1,S24_4258,Medium,WALMART,35419,Active
10333,2019-11-18,1,147.0,306.58,27539.66,Shipped,Fresh Produce Fruits,1,S24_4258,Medium,WALMART,35419,Active
10401,2020-04-03,4,141.0,267.62,25944.65,Shipped,Beef,1,S24_4278,Medium,WALMART,35419,Active
10180,2018-11-11,1,150.0,287.79,31014.84,Shipped,Fresh Produce Vegetables,1,S24_4620,Small,WALMART,35419,Active
10401,2020-04-03,1,134.0,267.17,24449.59,Shipped,Poultry,1,S32_1374,Medium,WALMART,35419,Active
10180,2018-11-11,4,116.0,221.58,16033.08,Shipped,Poultry,1,S32_2206,Small,WALMART,35419,Active
10224,2019-02-21,2,146.0,221.58,20169.14,Shipped,Poultry,1,S32_2206,Small,WALMART,35419,Active
10183,2018-11-13,4,148.0,246.59,22971.77,Shipped,Pork,1,S32_3522,Medium,WALMART,35419,Active
10333,2019-11-18,4,127.0,246.59,19695.53,Shipped,Pork,1,S32_3522,Small,WALMART,35419,Active
10401,2020-04-03,6,178.0,287.44,33978.49,Shipped,Fresh Produce Fruits,1,S32_4289,Medium,WALMART,35419,Active
10180,2018-11-11,7,99.0,312.01,19412.11,Shipped,Poultry,1,S32_4485,Small,WALMART,35419,Active
10224,2019-02-21,5,115.0,312.01,22627.97,Shipped,Poultry,1,S32_4485,Medium,WALMART,35419,Active
10401,2020-04-03,7,160.0,264.34,25422.25,Shipped,Fresh Produce Fruits,1,S50_1341,Small,WALMART,35419,Active
10395,2020-03-17,4,132.0,339.7,28502.43,Shipped,Pork,1,S50_1392,Medium,WALMART,35419,Active
10395,2020-03-17,3,130.0,270.34,19250.35,Shipped,Bread,1,S50_1514,Large,WALMART,35419,Active
10180,2018-11-11,5,111.0,274.14,19501.25,Shipped,Poultry,1,S50_4713,Small,WALMART,35419,Active
10224,2019-02-21,3,166.0,274.14,29295.56,Shipped,Poultry,1,S50_4713,Medium,WALMART,35419,Active
10356,2019-12-09,4,109.0,274.14,19190.14,Shipped,Poultry,1,S50_4713,Medium,WALMART,35419,Active
10233,2019-03-29,3,138.0,247.13,20270.33,Shipped,Dairy,1,S700_1138,Small,WALMART,35419,Active
10401,2020-04-03,8,134.0,332.89,28266.73,Shipped,Beef,1,S700_1691,Small,WALMART,35419,Active
10307,2019-10-14,5,114.0,261.46,19712.82,Shipped,Dairy,1,S700_2047,Medium,WALMART,35419,Active
10401,2020-04-03,10,206.0,266.05,38584.49,Shipped,Beef,1,S700_2466,Large,WALMART,35419,Active
10233,2019-03-29,1,107.0,251.11,17684.72,Shipped,Dairy,1,S700_2610,Small,WALMART,35419,Active
10183,2018-11-13,3,108.0,315.53,23145.99,Shipped,Fresh Produce Vegetables,1,S700_2824,Small,WALMART,35419,Active
10401,2020-04-03,2,137.0,302.14,26395.5,Shipped,Beef,1,S700_2834,Small,WALMART,35419,Active
10401,2020-04-03,9,155.0,292.04,28451.54,Shipped,Beef,1,S700_3167,Large,WALMART,35419,Active
10401,2020-04-03,11,145.0,272.64,26644.45,Shipped,Beef,1,S700_4002,Small,WALMART,35419,Active
10307,2019-10-14,4,137.0,278.68,22308.81,Shipped,Beef,1,S72_1253,Small,WALMART,35419,Active
10145,2018-08-25,6,149.0,300.24,31522.34,Shipped,Poultry,1,S10_1678,Medium,WALMART,80949,Active
10299,2019-09-30,9,128.0,300.24,27235.49,Shipped,Poultry,1,S10_1678,Small,WALMART,80949,Active
10318,2019-11-02,1,137.0,300.24,29014.95,Shipped,Poultry,1,S10_1678,Medium,WALMART,80949,Active
10258,2019-06-15,6,137.0,339.82,29848.78,Shipped,Fresh Produce Vegetables,1,S10_1949,Large,WALMART,80949,Active
10145,2018-08-25,9,135.0,286.12,24921.95,Shipped,Poultry,1,S10_2016,Medium,WALMART,80949,Active
10318,2019-11-02,4,158.0,286.12,29077.25,Shipped,Poultry,1,S10_2016,Medium,WALMART,80949,Active
10339,2019-11-23,4,151.0,286.12,27738.47,Shipped,Poultry,1,S10_2016,Small,WALMART,80949,Active
10145,2018-08-25,8,126.0,311.0,25734.7,Shipped,Poultry,1,S10_4698,Medium,WALMART,80949,Active
10299,2019-09-30,11,115.0,311.0,23538.55,Shipped,Poultry,1,S10_4698,Medium,WALMART,80949,Active
10318,2019-11-02,3,150.0,311.0,30690.67,Shipped,Poultry,1,S10_4698,Large,WALMART,80949,Active
10339,2019-11-23,3,115.0,311.0,23567.1,Shipped,Poultry,1,S10_4698,Small,WALMART,80949,Active
10155,2018-10-06,13,152.0,310.79,32428.23,Shipped,Fresh Produce Vegetables,1,S10_4757,Medium,WALMART,80949,Active
10281,2019-08-19,9,151.0,325.02,31201.97,Shipped,Fresh Produce Vegetables,1,S10_4962,Large,WALMART,80949,Active
10225,2019-02-22,9,117.0,278.43,22621.76,Shipped,Fresh Produce Vegetables,1,S12_1099,Medium,WALMART,80949,Active
10287,2019-08-30,12,121.0,278.43,23471.05,Shipped,Fresh Produce Vegetables,1,S12_1099,Medium,WALMART,80949,Active
10272,2019-07-20,2,143.0,305.44,26635.67,Shipped,Fresh Produce Vegetables,1,S12_1108,Medium,WALMART,80949,Active
10258,2019-06-15,3,163.0,318.79,36053.88,Shipped,Pork,1,S12_1666,Medium,WALMART,80949,Active
10281,2019-08-19,13,137.0,318.79,30294.07,Shipped,Pork,1,S12_1666,Small,WALMART,80949,Active
10145,2018-08-25,5,140.0,319.49,30704.47,Shipped,Poultry,1,S12_2823,Large,WALMART,80949,Active
10189,2018-11-18,1,130.0,319.49,28467.27,Shipped,Poultry,1,S12_2823,Medium,WALMART,80949,Active
10299,2019-09-30,8,142.0,319.49,31214.4,Shipped,Poultry,1,S12_2823,Medium,WALMART,80949,Active
10272,2019-07-20,3,104.0,273.59,18803.47,Shipped,Fresh Produce Vegetables,1,S12_3148,Medium,WALMART,80949,Active
10372,2020-01-26,4,148.0,273.59,26800.42,Shipped,Fresh Produce Vegetables,1,S12_3148,Medium,WALMART,80949,Active
10225,2019-02-22,7,122.0,289.54,23695.63,Shipped,Fresh Produce Vegetables,1,S12_3380,Small,WALMART,80949,Active
10287,2019-08-30,10,161.0,289.54,31265.98,Shipped,Fresh Produce Vegetables,1,S12_3380,Medium,WALMART,80949,Active
10272,2019-07-20,1,126.0,314.47,26748.4,Shipped,Fresh Produce Vegetables,1,S12_3891,Large,WALMART,80949,Active
10372,2020-01-26,1,126.0,314.47,26651.61,Shipped,Fresh Produce Vegetables,1,S12_3891,Medium,WALMART,80949,Active
10225,2019-02-22,10,117.0,263.16,21265.47,Shipped,Fresh Produce Vegetables,1,S12_3990,Small,WALMART,80949,Active
10287,2019-08-30,13,135.0,263.16,24404.92,Shipped,Fresh Produce Vegetables,1,S12_3990,Small,WALMART,80949,Active
10377,2020-02-09,5,148.0,263.16,26860.73,Shipped,Fresh Produce Vegetables,1,S12_3990,Small,WALMART,80949,Active
10281,2019-08-19,1,123.0,319.05,25533.35,Shipped,Pork,1,S12_4473,Medium,WALMART,80949,Active
10225,2019-02-22,6,122.0,296.21,24656.62,Shipped,Fresh Produce Vegetables,1,S12_4675,Small,WALMART,80949,Active
